total,under15,15to64,over64,birth,death,transferee,out-migrant,daytime,elder,marriage,divorce
12.302246088978832,10.010142230404668,11.96194802282722,10.627430633893226,7.365812837209472,7.360103972989152,9.944341546544393,9.791158367562208,12.875027026072631,9.33600338997184,7.3758821482150125,6.3578422665081
12.538185393373933,10.439571482516213,12.141566123880613,10.932160092999556,7.627057417018934,7.629489916393995,9.653293924495339,9.633055833490875,12.456971431888388,9.305832353435404,7.239214973779806,6.459904454377535
12.452440414797673,10.348525875764018,12.068688124847148,10.807098231252908,7.706162970199576,7.528869256642251,9.63194126199375,9.62450089845157,12.370930088572486,9.310095205113175,7.421177528595393,6.4692503167957724
12.22714897113209,10.0731881321402,11.855635349808454,10.56666509647364,7.513163545234075,7.366445148327599,9.556692215591841,9.536112711175099,12.194248009263513,9.115590035430372,7.406103381237015,6.3818160174060985
12.2649027169273,10.065351267427687,11.884544192294562,10.662773535600119,7.451241684987676,7.340186835320115,9.667765219015058,9.606361021256347,12.1272891447228,9.233373071086755,7.3395376954076745,6.269096283706261
11.893701627147966,9.656499466411903,11.436433113981712,10.533588431378439,6.77078942390898,7.217443431696533,8.841881989497114,8.963288275610298,11.767110214379752,8.877381954654766,6.447305862541213,5.545177444479562
12.260702866181289,10.11880052473515,11.852500027256108,10.721062311471126,7.430114138561801,7.411556287811163,9.394743094973961,9.368454615069874,12.120127972137189,9.158836529109067,7.116394144093465,6.2324480165505225
11.763629707125439,9.639847474564585,11.3497357222923,10.246580679751457,6.709304340258298,6.840546529288687,8.854950316500325,8.85180655855245,11.65697385954269,8.546363568716018,6.240275845170769,5.641907070938114
11.84685876693715,9.766980307881465,11.43071708057751,10.311881700150172,6.860663671448287,6.9957661563048505,8.826000545482966,8.709630081951286,11.60206208203649,8.400884069015854,6.418364935936212,5.771441123130016
11.666676064776148,9.68781601606062,11.261973828015448,10.023667712792234,6.651571873589727,6.75343791859778,8.610319169405722,8.517593111437565,11.416987087891307,7.96346006663897,5.988961416889864,5.54907608489522
12.539425736957519,10.324661954349473,12.051790290367432,11.246848316270832,7.5443321080536885,8.108623268354595,9.152817185732516,9.24329147211587,12.62438487483907,9.770070439095777,7.2640301428995295,6.466144724237619
11.79001917807194,9.480825419599443,11.254361968424758,10.636047735452909,6.593044534142437,7.469083884921234,8.153349757998892,8.38160253710989,11.873309521637754,9.12423767292277,6.22455842927536,5.568344503761097
12.757356677727007,10.60313853743474,12.270314247591639,11.428869715806231,7.835974581721566,8.138272638530186,9.313979406735669,9.343296599224809,12.777512538117831,9.8011225458581,7.493873886783559,6.666956792429207
11.456735993318851,9.25770094333602,10.938094511228325,10.22918769217543,6.428105272684596,7.064759027791802,8.196987927258897,8.28121766128665,11.57634148133498,8.752581469146884,6.082218910376446,5.293304824724492
12.107191095970057,9.988425949052319,11.640755636474994,10.73068474121633,7.229113877793302,7.538494999413465,8.810161268297255,8.957510510291613,12.162230469850764,9.141097469234023,6.878326468291325,6.133398042996649
